"","local","X1","X2","X3","X4","X5","X6","X7","τPSII","τPQ","ETR","NPQ","FvFm","P","S","SymLipids","SymProtein","SymCarbs","Volume","Photo","Chla","PRratio","Density","PROT","CARB","PhotoChla"
"13","C15a.5","C","Offshore","Porites-rus","C15a","10","5","OP5-5",19557,1758,413418.9195,0.091349062,0.44,0.14,162,0.000368515189754401,0.000891583608159013,0.00210024131480016,340.2044107,5.13488179300458e-09,9.56394342927852,5.615687508,0.246036499592775,315.236015377813,0.999743939668944,0.0536900059162305
"14","C15a.6","C","Offshore","Porites-rus","C15a","10","6","OP6-5",22104,1832,445097.7825,-0.003434066,0.406,0.26,156,0.00034028553534511,0.000484532618124899,0.00181604235653813,419.3995929,1.92531614268361e-09,4.96154556900691,2.846597055,0.243498027899943,336.063851130898,0.923830975976146,0.0388047658921124
"15","C15a.7","C","Offshore","Porites-rus","C15a","10","7","OP7-5",15736,2410,478110.15,0.000650195,0.423,0.11,173,0.000599687457309823,0.000598679051415395,0.0012456522545808,376.701854,3.2993325310628e-09,5.71961280141458,2.855148671,0.290950701963642,293.134725725352,0.896803891915341,0.0576845434405421
"16","C15a.8","C","Offshore","Porites-rus","C15a","10","8","OP8-5",18898,1790,301567.164,0.129491525,0.422,0.15,168,0.00092387173545307,0.000882154927780523,0.00160130721120776,389.0019199,1.57803025932254e-09,7.1306318189171,4.971056584,0.590962826568382,304.856650191159,1.27915405871867,0.0221303006437119
"17","C15b.1","T","Nikko","Porites-rus","C15b","10","1","NP1-10",17727,1597,501180.862,0.025082508,0.438,0.13,174,0.000366812611486347,0.000851430786815437,0.00152164021922505,486.1516469,7.28527346143692e-09,9.31268370394742,4.825146425,0.156199929087251,361.791838636168,7.46311239527312,0.0782295812145844
"18","C15b.2","T","Nikko","Porites-rus","C15b","10","2","NP2-10",20204,1977,NA,NA,0.434,0.08,166,0.000328085707592004,0.00164896527933852,0.00184474712221849,413.6017275,4.58067183030485e-09,7.61569442165633,8.16943232,0.133568428532289,327.372240149042,0.981731602005574,0.0601477892453122
"19","C15b.3","T","Nikko","Porites-rus","C15b","10","3","NP3-10",13590,1421,686917.44,-0.100235962,0.412,0.09,194,0.000113899356570584,0.000860253075114468,0.000999680216176887,457.0031706,6.38525006610395e-09,7.21009758895552,NA,0.170350539949384,388.65531335883,1.48980076872701,0.088559828592125
"20","C15b.4","T","Nikko","Porites-rus","C15b","10","4","NP4-10",16172,1524,608815.274,-0.034222537,0.424,0.09,190,0.000397958236457796,0.000951608169474546,0.00127546491883075,478.3724985,6.66539027905033e-09,8.72858682720868,7.68128198,0.174036177914884,396.893990447515,1.27956827410694,0.0763627653708276
"21","C15b.5","T","Nikko","Porites-rus","C15b","10","5","NP5-10",13843,1683,515459.1175,-0.032240133,0.419,0.1,169,0.000424710948359032,0.000711178730555164,0.00148257591676919,436.2439006,3.5417988194798e-09,5.06764739953376,3.69,0.171863902896579,73.6174823011225,0.61474683205315,0.0698903956854943
"22","C15b.6","T","Nikko","Porites-rus","C15b","10","6","NP6-10",16752,1847,418622.8395,0.104409857,0.425,0.09,201,0.00103050406342961,0.00134500973703134,0.00187279139492109,545.1124781,6.08264155687068e-09,8.27124920611608,10.06419433,0.125044863402013,80.5635906425643,0.521683371836551,0.0735395755259428
"23","C15b.7","T","Nikko","Porites-rus","C15b","10","7","NP7-10",20025,1785,362799.956,0.12,0.408,0.11,180,0.000474011817206782,0.00105978992453781,0.00245883374459952,447.7655386,1.05221002901644e-09,6.03568624190681,1.238727981,0.154271534924159,202.044482591217,0.790141331913426,0.017433146569329
